sessionName,eventNumber,siteDeg,siteName,state,cueIdxUsed,cuePos,crossingIdx,prevRewardIdx,nextRewardIdx,nextRewardSiteDeg,preSpeed,controlSpeed,decelIndex
JB5  2026-04-10,85,0,0deg_3oclock,cue_expected,NaN,NaN,60691,60690,61652,180,32.4514000638663,52.9487953549927,20.4973952911264
JB5  2026-04-10,86,0,0deg_3oclock,preReward_nonTarget,61212,30,61476,60690,61652,180,33.6119296467366,45.1294933251386,11.517563678402
JB5  2026-04-10,87,0,0deg_3oclock,cue_expected,NaN,NaN,61850,61652,62425,180,57.547234176307,65.4900671290083,7.9428329527013
JB5  2026-04-10,88,0,0deg_3oclock,preReward_nonTarget,62645,30,62871,62425,63182,180,31.7720478633947,59.8832252064374,28.1111773430427
JB5  2026-04-10,89,0,0deg_3oclock,preReward_nonTarget,63347,30,63688,63182,64054,180,42.9462794901861,52.4119324931609,9.46565300297476
JB5  2026-04-10,90,0,0deg_3oclock,cue_expected,NaN,NaN,64673,64054,65519,0,62.7933700751481,2.32508161826996,-60.4682884568782
JB5  2026-04-10,91,0,0deg_3oclock,cue_expected,NaN,NaN,65522,65519,67343,180,33.069655678441,43.0168357127959,9.94718003435498
JB5  2026-04-10,92,0,0deg_3oclock,preReward_nonTarget,66436,30,67149,65519,67343,180,55.0250645824557,1.48267449691531,-53.5423900855404
JB5  2026-04-10,93,0,0deg_3oclock,cue_expected,NaN,NaN,67661,67343,68204,180,64.8559975555369,6.30860109348776,-58.5473964620492
JB5  2026-04-10,94,0,0deg_3oclock,cue_expected,NaN,NaN,68783,68204,69358,0,46.3197193695299,54.4316798605931,8.11196049106327
JB5  2026-04-10,95,0,0deg_3oclock,cue_expected,NaN,NaN,69359,69358,70672,0,37.3928580619882,45.8804667403292,8.48760867834106
JB5  2026-04-10,96,0,0deg_3oclock,cue_expected,NaN,NaN,70674,70672,71471,180,32.1353854786409,63.0149530921958,30.8795676135548
JB5  2026-04-10,97,0,0deg_3oclock,cue_expected,NaN,NaN,71658,71471,72240,0,71.040706921676,77.5473182700139,6.50661134833796
JB5  2026-04-10,98,0,0deg_3oclock,cue_expected,NaN,NaN,72241,72240,72943,0,39.598379716394,48.8644718768168,9.26609216042279
JB5  2026-04-10,99,0,0deg_3oclock,preReward_target,72493,0,72943,72240,73760,0,32.7219164138891,49.2597350798557,16.5378186659667
JB5  2026-04-10,100,0,0deg_3oclock,cue_expected,NaN,NaN,73762,73760,74472,0,29.6876245868921,68.9552937747263,39.2676691878341
JB5  2026-04-10,101,0,0deg_3oclock,cue_expected,NaN,NaN,74474,74472,74869,180,31.4585193300706,77.1764841095931,45.7179647795224
JB5  2026-04-10,102,0,0deg_3oclock,preReward_target,75088,0,75372,74869,75952,0,33.1801481573195,101.615362925487,68.4352147681676
JB5  2026-04-10,103,0,0deg_3oclock,preReward_target,75521,0,75951,75372,75952,0,33.1798304097035,57.9389237116526,24.7590933019491
JB5  2026-04-10,104,0,0deg_3oclock,preReward_nonTarget,76492,30,77000,75952,77162,180,34.133731185786,42.7402294350229,8.60649824923693
JB5  2026-04-10,105,0,0deg_3oclock,preReward_nonTarget,77411,30,77666,77162,77847,180,33.7905805460728,72.1594137165319,38.368833170459
JB5  2026-04-10,106,0,0deg_3oclock,cue_expected,NaN,NaN,78172,77847,78734,0,67.2493732952066,24.9363016112447,-42.313071683962
JB5  2026-04-10,107,0,0deg_3oclock,cue_expected,NaN,NaN,78736,78734,79581,0,47.9840547308752,42.9171721987758,-5.06688253209936
JB5  2026-04-10,108,0,0deg_3oclock,preReward_target,78942,0,79581,78734,80375,0,35.2935709709309,76.7771795490906,41.4836085781598
JB5  2026-04-10,109,0,0deg_3oclock,preReward_target,80105,0,80375,79581,81032,0,38.5815646609068,56.3046459602154,17.7230812993086
JB5  2026-04-10,110,0,0deg_3oclock,preReward_nonTarget,80658,0,81032,80375,82004,180,36.54656595584,39.3906635839765,2.84409762813649
JB5  2026-04-10,111,0,0deg_3oclock,preReward_nonTarget,81397,30,81824,81032,82004,180,44.9721685106648,83.4621005076741,38.4899319970093
JB5  2026-04-10,112,0,0deg_3oclock,cue_expected,NaN,NaN,82195,82004,82545,180,50.1330529145417,71.2707867861487,21.1377338716071
JB5  2026-04-10,113,0,0deg_3oclock,cue_expected,NaN,NaN,82725,82545,83222,0,76.7569111793145,64.7863371787077,-11.9705740006068
JB5  2026-04-10,114,0,0deg_3oclock,preReward_target,82906,0,83222,82545,83869,0,56.5283837451572,84.3425039318195,27.8141201866623
JB5  2026-04-10,115,0,0deg_3oclock,cue_expected,NaN,NaN,83871,83869,84719,180,35.6432198997724,46.408797272362,10.7655773725896
JB5  2026-04-10,116,0,0deg_3oclock,preReward_nonTarget,84196,30,84539,83869,84719,180,36.520877241783,88.5268823795546,52.0060051377716
JB5  2026-04-10,117,0,0deg_3oclock,cue_expected,NaN,NaN,84907,84719,85477,180,50.0547117196351,79.9543789530653,29.8996672334302
JB5  2026-04-10,118,0,0deg_3oclock,cue_expected,NaN,NaN,85656,85477,86284,0,75.8573453532182,50.3765789999905,-25.4807663532277
