Animal,CellType,Region,ClusterID,B1_Pos,B1_Context,B1_Chair,B1_Drum,B1_Star,P1_Pos,P1_Context,P1_Chair,P1_Drum,P1_Star,B2_Pos,B2_Context,B2_Chair,B2_Drum,B2_Star,P2_Pos,P2_Context,P2_Chair,P2_Drum,P2_Star,B3_Pos,B3_Context,B3_Chair,B3_Drum,B3_Star,P3_Pos,P3_Context,P3_Chair,P3_Drum,P3_Star
VR32,Wide Interneuron,vc,132,0.249832093840694,0.392316600529577,0.57906849821797,-0.98288627375448,0.456042921253722,0.0247821785577763,2.33079567436251e-05,0.00634070478072565,4.7032336555721e-06,0.00414046840783736,0.290026886499288,0,-0.304896218771535,-0.643626775891779,0.458425130351558,0.0349402963766397,NaN,0.242816549434925,0.0146479421311859,0.019597901661785,0.249832093840694,0.392316600529577,0.57906849821797,-0.98288627375448,0.456042921253722,0.0247821785577763,2.33079567436251e-05,0.00634070478072565,4.7032336555721e-06,0.00414046840783736
VR33,Wide Interneuron,vc,405,0.729350629192086,-2.11819820893384,3.1845743700199,-0.119434459023253,0.443911187873195,0.0240046367526054,1.24497616325169e-14,3.46798678222905e-07,0.845711746577021,0.334734738476767,3.07691708471703,0,1.71076903271166,-0.333623590890537,0.961835388298534,3.33346342584481e-11,NaN,0.0452802017764391,0.693524158869418,0.130328725015651,0.729350629192086,-2.11819820893384,3.1845743700199,-0.119434459023253,0.443911187873195,0.0240046367526054,1.24497616325169e-14,3.46798678222905e-07,0.845711746577021,0.334734738476767
VR45,Wide Interneuron,ppc,179,2.33987148164415,-0.527186606943908,3.58919604913031,-0.328484341765288,0.442754766963235,1.65611140399611e-17,0.0167307238476884,5.02010707705613e-12,0.5156536828941,0.242576817195973,3.17053772213611,0,4.31927106270395,-1.40758394581356,0.382043397180558,3.45382604372079e-13,NaN,1.12990190100616e-07,0.0749227785425114,0.517844896807502,2.33987148164415,-0.527186606943908,3.58919604913031,-0.328484341765288,0.442754766963235,1.65611140399611e-17,0.0167307238476884,5.02010707705613e-12,0.5156536828941,0.242576817195973
VR42,Wide Interneuron,vc,505,0.361335449687728,-0.130344668661463,0.35929339059044,0.325493468691515,0.441402871874707,0.122101918638699,0.500271985037445,0.419042577738681,0.466605207150564,0.185528623917918,0.226821184761665,0,-0.882490461882162,1.51837618951668,0.169771380665163,0.485167490951771,NaN,0.154366093280761,0.0151904113134397,0.714172706037355,0.361335449687728,-0.130344668661463,0.35929339059044,0.325493468691515,0.441402871874707,0.122101918638699,0.500271985037445,0.419042577738681,0.466605207150564,0.185528623917918
VR461,Wide Interneuron,ppc,548,-0.158671317427438,-0.0139431451138687,-0.112887727913367,0.254552612082532,0.441200000972828,0.0703377874579162,0.84748282673272,0.500709752497773,0.127114827356494,0.000445899983561487,-0.215209103574337,0,0.120765450273972,-0.0161150486032825,0.628003056776239,0.0764880763100796,NaN,0.602636890893365,0.944289628842547,0.000332288265615134,-0.158671317427438,-0.0139431451138687,-0.112887727913367,0.254552612082532,0.441200000972828,0.0703377874579162,0.84748282673272,0.500709752497773,0.127114827356494,0.000445899983561487
VR472,Wide Interneuron,vc,709,0.194253001248075,-0.067756310700141,0.529937070803767,0.386752209940704,0.436901336706381,0.00909117218186126,0.270605225074042,0.000195188586765653,0.00669025189530333,4.27302202611979e-05,0.111127626378278,0,0.466330099251322,0.264377560202151,0.196539705478286,0.30067258463818,NaN,0.0230745548341429,0.198683636304958,0.199809165478197,0.194253001248075,-0.067756310700141,0.529937070803767,0.386752209940704,0.436901336706381,0.00909117218186126,0.270605225074042,0.000195188586765653,0.00669025189530333,4.27302202611979e-05
VR34,Wide Interneuron,ppc,614,0.343567753463383,0.106755192077578,0.464690955968797,0.339937327145795,0.432599327772142,1.68376879127754e-10,0.0148035469960357,4.62363102260491e-06,0.000813487872187198,1.51052537144419e-08,0.235427308519606,0,0.244444584127862,0.236457472167472,0.334357980429396,0.000277222669205444,NaN,0.045455863510925,0.0542570341482805,0.000295748268280725,0.343567753463383,0.106755192077578,0.464690955968797,0.339937327145795,0.432599327772142,1.68376879127754e-10,0.0148035469960357,4.62363102260491e-06,0.000813487872187198,1.51052537144419e-08
VR42,Wide Interneuron,ppc,33,-0.0901391929046739,0.0495484596846497,0.262630518076485,0.124249062147364,0.43154023862923,0.479908047253175,0.639079326809744,0.279813097499835,0.610995439398718,0.0180568084606792,-0.22965509323356,0,-0.447456077404615,0.730334238484089,0.490860757686887,0.215034948073524,NaN,0.204551809780081,0.0399748492177819,0.0637763838413956,-0.0901391929046739,0.0495484596846497,0.262630518076485,0.124249062147364,0.43154023862923,0.479908047253175,0.639079326809744,0.279813097499835,0.610995439398718,0.0180568084606792
VR44,Wide Interneuron,ppc,409,-8.21940546121591,-2.81343138307856,2.06448902563828,4.69270321972729,0.42450304129484,1.37107301445511e-25,6.40120265776839e-06,0.14625037568903,0.00107297852545073,0.689904368235441,-13.5798612762542,0,0.972535436128733,-1.25577177698848,-2.51773069286707,3.17369643742781e-24,NaN,0.67232334367729,0.587110113940464,0.144763797951243,-8.21940546121591,-2.81343138307856,2.06448902563828,4.69270321972729,0.42450304129484,1.37107301445511e-25,6.40120265776839e-06,0.14625037568903,0.00107297852545073,0.689904368235441
VR37,Wide Interneuron,ppc,746,0.0721006393012793,0.140438875234293,0.363608179648064,0.139525496190168,0.4226979096449,0.458574160358752,0.0816314486752758,0.0512658806465823,0.45124655845066,0.00242378488967047,0.255545672786732,0,0.838234197930637,0.182441582166407,0.397878212369387,0.0702778792354008,NaN,0.00205238564163517,0.496135389492823,0.0483942645930061,0.0721006393012793,0.140438875234293,0.363608179648064,0.139525496190168,0.4226979096449,0.458574160358752,0.0816314486752758,0.0512658806465823,0.45124655845066,0.00242378488967047
VR472,Wide Interneuron,ppc,739,-0.774917299039016,-1.20187157820304,4.74635660629962,0.32962278340985,0.419811512409462,0.042107816373945,0.000151861373236565,1.33497284080659e-10,0.650994177724161,0.439559991031651,-2.52287505096755,0,9.67958307608769,-0.0547981125966253,1.81275951852178,6.56492444874334e-06,NaN,7.17071497221406e-18,0.958412612647167,0.0212878422395228,-0.774917299039016,-1.20187157820304,4.74635660629962,0.32962278340985,0.419811512409462,0.042107816373945,0.000151861373236565,1.33497284080659e-10,0.650994177724161,0.439559991031651
