INDEX,POS,CNTX,OBJ1,OBJ2,STAR
73,0,1,0,0,0.404411765
74,0,1,0,0,0.426470588
75,1,1,0,0,0.448529412
76,1,1,0,0,0.470588235
77,1,1,0,0,0.492647059
78,1,1,0,0,0.514705882
79,1,1,0,0,0.536764706
80,1,1,0,0,0.558823529
81,1,1,0,0,0.580882353
82,1,1,0,0,0.602941176
83,1,1,0,0,0.625
84,1,1,0,0,0.647058824
85,1,1,0,0,0.669117647
86,1,1,0,0,0.691176471
87,1,1,0,0,0.713235294
88,1,1,0,0,0.735294118
89,1,1,0,0,0.757352941
90,1,1,0,0,0.779411765
91,1,1,0,0,0.801470588
92,1,1,0,0,0.823529412
93,1,1,0,0,0.845588235
94,1,1,0,0,0.867647059
95,1,1,0,0,0.889705882
96,1,1,0,0,0.911764706
97,1,1,0,0,0.933823529
98,1,1,0,0,0.955882353
99,1,1,0,0,0.977941176
100,1,1,0,0,1
101,0,1,0,0,0
102,0,1,0,0,0
103,0,1,0,0,0
104,0,1,0,0,0
105,0,1,0,0,0
106,0,1,0,0,0
107,0,1,0,0,0
108,0,1,0,0,0
109,0,1,0,0,0
110,0,1,0,0,0
111,0,1,0,0,0
112,0,1,0,0,0
113,0,1,0,0,0
114,0,1,0,0,0
115,0,1,0,0,0
116,0,1,0,0,0.25
117,0,1,0,0,0.272058824
118,0,1,0,0,0.294117647
119,0,1,0,0,0.316176471
120,0,1,0,0,0.338235294
121,0,1,0,0,0.360294118
122,0,1,0,0,0.382352941
123,0,1,0,0,0.404411765
124,0,1,0,0,0.426470588
125,2,1,0,0,0.448529412
126,2,1,0,0,0.470588235
127,2,1,0,0,0.492647059
128,2,1,0,0,0.514705882
129,2,1,0,0,0.536764706
130,2,1,0,0,0.558823529
131,2,1,0,0,0.580882353
132,2,1,0,0,0.602941176
133,2,1,0,0,0.625
134,2,1,0,0,0.647058824
135,2,1,0,0,0.669117647
136,2,1,0,0,0.691176471
137,2,1,0,0,0.713235294
138,2,1,0,0,0.735294118
139,2,1,0,0,0.757352941
140,2,1,0,0,0.779411765
141,2,1,0,0,0.801470588
142,2,1,0,0,0.823529412
143,2,1,0,0,0.845588235
144,2,1,0,0,0.867647059
145,2,1,0,0,0.889705882
146,2,1,0,0,0.911764706
147,2,1,0,0,0.933823529
148,2,1,0,0,0.955882353
149,2,1,0,0,0.977941176
150,2,1,0,0,1
151,0,1,0,0,0
152,0,1,0,0,0
153,0,1,0,0,0
154,0,1,0,0,0
155,0,1,0,0,0
156,0,1,0,0,0
157,0,1,0,0,0
158,0,1,0,0,0
159,0,1,0,0,0
160,0,1,0,0,0
161,0,1,0,0,0
162,0,1,0,0,0
163,0,1,0,0,0
164,0,1,0,0,0
165,0,1,0,0,0
166,0,1,0,0,0
167,0,1,0,0.25,0
168,0,1,0,0.272058824,0
169,0,1,0,0.294117647,0
170,0,1,0,0.316176471,0
171,0,1,0,0.338235294,0
172,0,1,0,0.360294118,0
173,0,1,0,0.382352941,0
174,0,1,0,0.404411765,0
175,1,1,0,0.426470588,0
176,1,1,0,0.448529412,0
177,1,1,0,0.470588235,0
178,1,1,0,0.492647059,0
179,1,1,0,0.514705882,0
180,1,1,0,0.536764706,0
181,1,1,0,0.558823529,0
182,1,1,0,0.580882353,0
183,1,1,0,0.602941176,0
184,1,1,0,0.625,0
185,1,1,0,0.647058824,0
186,1,1,0,0.669117647,0
187,1,1,0,0.691176471,0
188,1,1,0,0.713235294,0
189,1,1,0,0.735294118,0
190,1,1,0,0.757352941,0
191,1,1,0,0.779411765,0
192,1,1,0,0.801470588,0
193,1,1,0,0.823529412,0
194,1,1,0,0.845588235,0
195,1,1,0,0.867647059,0
196,1,1,0,0.889705882,0
197,1,1,0,0.911764706,0
198,1,1,0,0.933823529,0
199,1,1,0,0.955882353,0
200,1,1,0,0.977941176,0
201,0,2,0,0,0
202,0,2,0,0,0
203,0,2,0,0,0
204,0,2,0,0,0
205,0,2,0,0,0
206,0,2,0,0,0
207,0,2,0,0,0
208,0,2,0,0,0
209,0,2,0,0,0
210,0,2,0,0,0
211,0,2,0,0,0
212,0,2,0,0,0
213,0,2,0,0,0
214,0,2,0,0,0
215,0,2,0,0,0
216,0,2,0.25,0,0
217,0,2,0.272058824,0,0
218,0,2,0.294117647,0,0
219,0,2,0.316176471,0,0
220,0,2,0.338235294,0,0
221,0,2,0.360294118,0,0
222,0,2,0.382352941,0,0
223,0,2,0.404411765,0,0
224,0,2,0.426470588,0,0
225,2,2,0.448529412,0,0
226,2,2,0.470588235,0,0
227,2,2,0.492647059,0,0
228,2,2,0.514705882,0,0
229,2,2,0.536764706,0,0
230,2,2,0.558823529,0,0
231,2,2,0.580882353,0,0
232,2,2,0.602941176,0,0
233,2,2,0.625,0,0
234,2,2,0.647058824,0,0
235,2,2,0.669117647,0,0
236,2,2,0.691176471,0,0
237,2,2,0.713235294,0,0
238,2,2,0.735294118,0,0
239,2,2,0.757352941,0,0
240,2,2,0.779411765,0,0
241,2,2,0.801470588,0,0
242,2,2,0.823529412,0,0
243,2,2,0.845588235,0,0
244,2,2,0.867647059,0,0
245,2,2,0.889705882,0,0
246,2,2,0.911764706,0,0
247,2,2,0.933823529,0,0
248,2,2,0.955882353,0,0
249,2,2,0.977941176,0,0
250,2,2,1,0,0
251,0,2,0,0,0
252,0,2,0,0,0
253,0,2,0,0,0
254,0,2,0,0,0
255,0,2,0,0,0
256,0,2,0,0,0
257,0,2,0,0,0
258,0,2,0,0,0
259,0,2,0,0,0
260,0,2,0,0,0
261,0,2,0,0,0
262,0,2,0,0,0
263,0,2,0,0,0
264,0,2,0,0,0
265,0,2,0,0,0
266,0,2,0,0,0.25
267,0,2,0,0,0.272058824
268,0,2,0,0,0.294117647
269,0,2,0,0,0.316176471
270,0,2,0,0,0.338235294
271,0,2,0,0,0.360294118
272,0,2,0,0,0.382352941
273,0,2,0,0,0.404411765
274,0,2,0,0,0.426470588
275,1,2,0,0,0.448529412
276,1,2,0,0,0.470588235
277,1,2,0,0,0.492647059
278,1,2,0,0,0.514705882
279,1,2,0,0,0.536764706
280,1,2,0,0,0.558823529
281,1,2,0,0,0.580882353
282,1,2,0,0,0.602941176
283,1,2,0,0,0.625
284,1,2,0,0,0.647058824
285,1,2,0,0,0.669117647
286,1,2,0,0,0.691176471
287,1,2,0,0,0.713235294
288,1,2,0,0,0.735294118
289,1,2,0,0,0.757352941
290,1,2,0,0,0.779411765
291,1,2,0,0,0.801470588
292,1,2,0,0,0.823529412
293,1,2,0,0,0.845588235
294,1,2,0,0,0.867647059
295,1,2,0,0,0.889705882
296,1,2,0,0,0.911764706
297,1,2,0,0,0.933823529
298,1,2,0,0,0.955882353
299,1,2,0,0,0.977941176
300,1,2,0,0,1
301,0,2,0,0,0
302,0,2,0,0,0
303,0,2,0,0,0
304,0,2,0,0,0
305,0,2,0,0,0
306,0,2,0,0,0
307,0,2,0,0,0
308,0,2,0,0,0
309,0,2,0,0,0
310,0,2,0,0,0
311,0,2,0,0,0
312,0,2,0,0,0
313,0,2,0,0,0
314,0,2,0,0,0
315,0,2,0,0,0
316,0,2,0,0,0.25
317,0,2,0,0,0.272058824
318,0,2,0,0,0.294117647
319,0,2,0,0,0.316176471
320,0,2,0,0,0.338235294
321,0,2,0,0,0.360294118
322,0,2,0,0,0.382352941
323,0,2,0,0,0.404411765
324,0,2,0,0,0.426470588
325,2,2,0,0,0.448529412
326,2,2,0,0,0.470588235
327,2,2,0,0,0.492647059
328,2,2,0,0,0.514705882
329,2,2,0,0,0.536764706
330,2,2,0,0,0.558823529
331,2,2,0,0,0.580882353
332,2,2,0,0,0.602941176
