INDEX,POS1,POS2,CNTX,OBJ1,OBJ2,STAR
278,0,0,2,0,0,0
279,0,0,2,0,0,0
280,0,0,2,0,0,0
281,0,0,2,0,0,0
282,0,0,2,0,0,0
283,0,0,2,0,0,0
284,0,0,2,0,0,0
285,0,0,2,0,0,0
286,0,0,2,0,0,0
287,0,0,2,0,0,0
288,0,0,2,0,0,0
289,0,0,2,0,0,0
290,0,0,2,0,0,0
291,0,1,2,0,0,0
292,0,1,2,0,0,0
293,0,1,2,0,0,0
294,0,1,2,0,0,0
295,0,1,2,0,0,0
296,0,1,2,0,0,0
297,0,1,2,0,0,0
298,0,1,2,0.25,0,0
299,0,1,2,0.272058824,0,0
300,0,1,2,0.294117647,0,0
301,0,1,2,0.316176471,0,0
302,0,1,2,0.338235294,0,0
303,0,1,2,0.360294118,0,0
304,0,1,2,0.382352941,0,0
305,0,1,2,0.404411765,0,0
306,0,1,2,0.426470588,0,0
307,0,1,2,0.448529412,0,0
308,0,1,2,0.470588235,0,0
309,0,1,2,0.492647059,0,0
310,0,1,2,0.514705882,0,0
311,0,1,2,0.536764706,0,0
312,0,1,2,0.558823529,0,0
313,0,1,2,0.580882353,0,0
314,0,1,2,0.602941176,0,0
315,0,1,2,0.625,0,0
316,0,1,2,0.647058824,0,0
317,0,1,2,0.669117647,0,0
318,0,1,2,0.691176471,0,0
319,0,1,2,0.713235294,0,0
320,0,1,2,0.735294118,0,0
321,0,1,2,0.757352941,0,0
322,0,1,2,0.779411765,0,0
323,0,1,2,0.801470588,0,0
324,0,1,2,0.823529412,0,0
325,0,1,2,0.845588235,0,0
326,0,1,2,0.867647059,0,0
327,0,1,2,0.889705882,0,0
328,0,1,2,0.911764706,0,0
329,0,1,2,0.933823529,0,0
330,0,1,2,0.955882353,0,0
331,0,1,2,0.977941176,0,0
332,0,1,2,1,0,0
333,0,0,2,0,0,0
334,0,0,2,0,0,0
335,0,0,2,0,0,0
336,0,0,2,0,0,0
337,0,0,2,0,0,0
338,0,0,2,0,0,0
339,0,0,2,0,0,0
340,0,0,2,0,0,0
341,0,0,2,0,0,0
342,0,0,2,0,0,0
343,0,0,2,0,0,0
344,0,0,2,0,0,0
345,0,0,2,0,0,0
346,0,0,2,0,0,0
347,0,0,2,0,0,0
348,0,0,2,0,0,0
349,0,0,2,0,0,0
350,0,0,2,0,0,0
351,0,0,2,0,0,0
352,0,0,2,0,0,0
353,0,0,2,0,0,0
354,0,0,2,0,0,0
355,0,0,2,0,0,0
356,0,0,2,0,0,0
357,1,0,2,0,0,0
358,1,0,2,0,0,0
359,1,0,2,0,0,0
360,1,0,2,0,0,0
361,1,0,2,0,0,0
362,1,0,2,0,0,0
363,1,0,2,0,0,0
364,1,0,2,0,0,0.25
365,1,0,2,0,0,0.272058824
366,1,0,2,0,0,0.294117647
367,1,0,2,0,0,0.316176471
368,1,0,2,0,0,0.338235294
